scale,dataset,family,arm,n_queries,misselection_rate,regret_median,regret_p90,regret_max,ms_lost_total,ms_lost_max,q_error_median,q_error_max
1m,baseline,range,all,5,1.0,3.0248949240219853,8.966223946978783,12.022646281181744,165.28300000000002,47.943000000000005,1.0087823593473677,1.0217673619435788
1m,baseline,range,all_no_brin,5,0.0,1.012530175882285,1.1343222026602906,1.1837210270067828,1.862,2.2074999999999996,1.0096599536482058,1.0952145051025464
1m,baseline,ts_range,all,5,0.8,3.134684048825043,10.736432132975121,14.839905753968253,170.6035,55.802499999999995,1.0176045588684237,1.0864
1m,baseline,ts_range,all_no_brin,5,0.0,1.051122367073542,1.0598649480776237,1.0641432997060924,1.929999999999989,1.5534999999999926,1.0071,1.0395010395010396
1m,dep025,conj,all,9,0.5555555555555556,2.2805887764489423,3.085724196718504,3.1674057649667406,8.038499999999999,1.955,1.1712439418416802,28.144444444444446
1m,dep025,conj,all_no_brin,4,0.25,0.9393647271283893,1.2803421920987177,1.387514723203769,-0.014000000000000012,0.32899999999999996,25.664136904761904,28.45977011494253
1m,dep025,range,all,5,1.0,3.15019429466518,9.355827975044923,12.793344386546663,172.452,49.7915,1.0080810902488178,1.0287001518420842
1m,dep025,range,all_no_brin,5,0.0,1.0116576799108354,1.0259783626859447,1.031691397149873,1.0714999999999968,0.7549999999999955,1.0140927393167944,1.0509162848812994
1m,dep025,ts_range,all,5,0.8,3.3297706901914217,11.1854856080728,15.525388330505157,179.1365,55.6395,1.0152387333881563,1.044888405918248
1m,dep025,ts_range,all_no_brin,5,0.0,1.02168688325275,1.0562108681208926,1.0578253491711265,1.7250000000000023,0.8850000000000051,1.0067654639175259,1.0144045445323595
1m,dep05,conj,all,10,0.5,1.3071819553079331,1.8905627270525318,2.0553678190798026,7.732000000000001,2.0300000000000002,22.911707079646018,58.13953488372093
1m,dep05,conj,all_no_brin,5,0.2,1.1654955173249335,1.2060008320871918,1.2146107178968655,1.6180000000000005,0.4244999999999999,49.01010101010101,50.504950495049506
1m,dep05,range,all,5,1.0,2.810681679853926,8.185565372329943,10.965598215334039,137.36700000000002,42.438500000000005,1.020651675080312,1.0344641572764326
1m,dep05,range,all_no_brin,5,0.0,1.0325231889162851,1.0407090592085029,1.0417544879715095,1.3960000000000043,1.7235000000000014,1.0090161498067969,1.0240038310353772
1m,dep05,ts_range,all,5,0.8,2.958675289272975,9.812644046806062,13.552403161031224,147.005,48.446000000000005,1.01647,1.0579
1m,dep05,ts_range,all_no_brin,5,0.0,1.0189143671460035,1.1197584534353808,1.1333032514469676,10.835500000000003,7.6810000000000045,1.0174803117559674,1.0251
1m,dep075,conj,all,10,0.5,1.180634755013244,1.5737732913112603,1.7425759971885433,6.363499999999999,2.113,34.453052618864916,77.91397849462365
1m,dep075,conj,all_no_brin,5,0.0,1.0471335450442922,1.1182105961313384,1.1441040256501604,0.7539999999999996,0.4045000000000001,81.81521739130434,93.9125
1m,dep075,range,all,5,0.8,2.5514611729220613,8.507917022439203,11.688883235817858,130.9885,42.018,1.0125091170681506,1.0487466560982859
1m,dep075,range,all_no_brin,5,0.2,1.127762834756169,1.2164759809077812,1.2593487662172476,4.938000000000005,3.2775000000000034,1.013615839526892,1.0138709997027644
1m,dep075,ts_range,all,5,0.8,2.978377903914799,9.274247336316302,12.788808892257167,144.462,46.666,1.009804,1.0209
1m,dep075,ts_range,all_no_brin,5,0.0,1.1373687389195193,1.1674170410142142,1.1811367644700976,14.388500000000008,8.311000000000007,1.00762,1.0311
1m,dep10,conj,all,10,0.4,1.0437916232437234,1.314813013118872,1.3227526348419094,4.3055,1.3014999999999999,40.8419778210899,117.90243902439025
1m,dep10,conj,all_no_brin,5,0.0,1.0307751738346638,1.0422482516230502,1.043501326259947,-0.4610000000000003,0.16400000000000015,98.65306122448979,111.04347826086956
1m,dep10,range,all,5,1.0,2.765817759863198,9.195502956777808,12.544297082228118,141.5645,43.522,1.0109370739540098,1.0127101519560298
1m,dep10,range,all_no_brin,5,0.0,1.0027851458885941,1.053002205592649,1.0741885625965997,0.7089999999999992,0.8399999999999999,1.0321697044588611,1.07281037414966
1m,dep10,ts_range,all,5,0.8,2.6284442182928385,9.396044837292727,12.905311491685282,147.06650000000002,47.966499999999996,1.0091937551090433,1.0317
1m,dep10,ts_range,all_no_brin,5,0.0,0.9614954316613836,1.0332862821653654,1.0748765027322404,0.4744999999999968,4.2819999999999965,1.00521,1.0407
